user_id,screen_name,location
1927567190007349248,esfnNth0Ug11650,
1931528361492295680,clipzzentertain,
1930829330143391744,MrrFlexz,03.3.3 Luckz
1912722243886673920,wegotalldavibes,
1914687002097684480,clxww_,
325525864,aliqais219,
1802525839407378432,d7mi9001,Kingdom of Saudi Arabia
864198805708611584,Faaaaaahim,"Dhaka, Bangladesh"
3255568489,hamz95ah,
1432741044030824453,suryar338,
746341430109544448,_little_lucas_,"Vitória, Brazil"
1931279622781693952,aileix,
1931481963334180864,Sophiafoxxo,
1859709328053178368,ManuelAideloje,
1762382508140683264,NAderemi56630,
1698010218607861760,ArtZhang_,
1931517780236611584,Logina_Editz,
1450651928736813058,Jonatha08711462,
1931507962465431552,APenguin17013,
1810122017741680640,MT_781_,
1411484163421753347,TizianaAyala2,
1926243968657842177,ChrisRicks28703,
1676513140857782272,JIAOG496948,
1931514080055189504,n1ehd,
1927912808596766720,Flxvuelvec1849,
1931508311779594240,LucasPonce82403,
1752154923666411520,blavkoxs,
1808222688105881602,Jskury,
1900557738377175040,Astridddand,Paris
1731968193110093824,GabrielBap57904,
1931488740234739712,Asap61616,
1427355644248657930,EnzoHer00569986,
1917566784867090432,RaedMansou83157,
2401348323,susanmillyonl,Tx 
3807419536,AlfonGarciaV,
1530185205314633729,btcmoneysniper,"Dublin City, Ireland"
1710374541560623104,SeyniIbrah37113,
1931501998085726208,Joseph9lu,
1608495337559429121,fred_zilla_07,
335695545,NoticiasdoPARA,"Belém do Pará, Brasil"
1931495704905596929,Zuttyburmeseboi,
1557548322847596545,jxlien_m,
1874833086480781312,Burnette171,
1929845900693696512,EduLorenzzz,
1807291130133753857,OgbeWiliam91485,
1931495916097466368,ConnerJaro13128,
1882287121152573440,smallboy875,
1882908672734699520,HidalgoJam2527,
1909635294409924608,EmekaUgo253402,
1930348829892923392,HazaynnKin91,"Texas, USA"
1931483431436689408,Lungsta_0,
1596726865837920259,iollg6,
1931310308863115264,AlexisReye14450,
1452819639910780930,_M0NTER0,
1931477765015953409,sgal67177,
1931427557016043520,RuthMedina36244,
2975430119,qbinnBv,
1924934121886814208,Rik061777891224,
1931362623112577024,Sean11454126765,
272728149,SmoKnPiff,Secret City
1931485005622177792,Chris478733,
819100134843658240,roseaerizen,
1749981828859969536,NwaiwuN95498,
1270516758487629824,ruan_rbbt,Renata Pinheiro❤️‍🩹
1922441861215719424,porres16409,
1673588532206616577,Zibepikin,web3
1761150928051200000,spiderman36014,
4835616792,liver_ll,
1930051511792361472,drvnndrjnkss,"Youngsville, Louisiana."
1923958959955902472,HeroSenox79353,
1931481298926731264,awethaa1,
1926154394321448960,cayfrm313,
