Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1378092009148284930,RONNIE TUNE IN MY STREAM FOR A LOGO BEST POSTSCORER AND FIRST POSTSCORER TO GET A LOGO @Ronnie2K @Mitchel_Inkrott @OGconstant,Fri Apr 02 21:08:33 +0000 2021,,519,43,119,2
1373113045275320321,RT @NadeGrinds: Thank you god for answering my prayers I’m crying right now emotions are flying rn. @Twitch thank you so much I promise I w…,Sat Mar 20 03:23:55 +0000 2021,,0,272,0,0
1369826418318843905,im out,Thu Mar 11 01:44:02 +0000 2021,,269,11,33,1
1368326194421235712,3 days left until the demon comes back👹 https://t.co/OM7DYAejHF,Sat Mar 06 22:22:41 +0000 2021,,275,10,13,1
1368279273346318339,RT @NadeGrinds: Dudes come &amp; go I’m already used to it. Been there seen it all.,Sat Mar 06 19:16:14 +0000 2021,,0,18,0,0
1368042429727793154,RT @Chestlito: 🤣🤣 https://t.co/DOm0jTktaa,Sat Mar 06 03:35:06 +0000 2021,,0,28,0,0
1366876168788574212,https://t.co/T7JSugY5cP,Tue Mar 02 22:20:48 +0000 2021,,194,7,7,0
1366875939494367238,i’m banned on yt💔 i will be streaming on this channel https://t.co/ct4qSB45LU,Tue Mar 02 22:19:53 +0000 2021,,193,7,12,0
1364047635888357376,peaked at 2k viewers today luv y’all❤️ https://t.co/rxAkqPcveq,Tue Feb 23 03:01:13 +0000 2021,,633,17,24,9
1358498452179714051,"RT @NFDragon52: Recent Thumbnails for @IShowSpeed 
DM me to get yours for $3.
All support is appreciated!

-@TeamXen3_ @XenGallery https://…",Sun Feb 07 19:30:45 +0000 2021,,0,12,0,0
1354610467633836035,❤️,Thu Jan 28 02:01:17 +0000 2021,,158,11,12,1
1353225744391036930,RT @theOficalEffect: @IShowSpeed no wayy https://t.co/sqzFmnahZ6,Sun Jan 24 06:18:53 +0000 2021,,0,10,0,0
1344736337493172225,"RT @NFDragon52: Recent 2K Thumbnail for @IShowSpeed 
""2K19 Comp Stage""
DM me to get yours for 3$.
All support is appreciated!

-@TeamXen3_…",Thu Dec 31 20:05:01 +0000 2020,,0,11,0,0
1341463429949894659,"RT @NFDragon52: Recent 2K Thumbnails For @IShowSpeed 
DM me to get yours for 3$.
All support is appreciated!

-@TeamXen3_ @XenGallery https…",Tue Dec 22 19:19:39 +0000 2020,,0,11,0,0
1336075867559178252,"RT @NFDragon1: Recent 2K Thumbnail for @IShowSpeed 
DM me to get yours for 3$.
All support is appreciated!

-@TeamXen3_ @XenGallery https:/…",Mon Dec 07 22:31:24 +0000 2020,,0,10,0,0
1332571816821403648,RT @Stahtistics_: No cap I know we didn’t win we just got launched to Afghanistan but @Troydan and @TheRealTyceno PLZ AND IM BEGGING YALL A…,Sat Nov 28 06:27:33 +0000 2020,,0,11,0,0
1330407861873233921,Appreciate you for joining my stream and showing support✅ @JoeKnowsYT https://t.co/ur2X3NaZ7A,Sun Nov 22 07:08:46 +0000 2020,,242,10,8,0
1329164008730091521,"RT @DoubleH_YT: 1 wish that I have that nobody talks about is having a 1v1 court IN THE PARKS. Not in a back alley, not in a garage, not in…",Wed Nov 18 20:46:09 +0000 2020,,0,44,0,0
1315510734655193088,@TeamYouTube,Mon Oct 12 04:32:54 +0000 2020,,111,6,7,1
1315510695816056833,@TeamYouTube,Mon Oct 12 04:32:45 +0000 2020,,124,6,11,1
1315510568158212096,https://t.co/lkBrX1ybtF,Mon Oct 12 04:32:15 +0000 2020,,133,7,6,0
1315510535950131201,https://t.co/dDPL6xYao1,Mon Oct 12 04:32:07 +0000 2020,,130,5,4,0
1315510453074878464,I was live streaming and youtube took it down as inappropriate content but they said it it did not affect my channel in no ways. But no I can’t live stream can you please help me @TeamYouTube I wasn’t to stream again i have proof right here. https://t.co/vZ0tliJUTt,Mon Oct 12 04:31:47 +0000 2020,,140,10,6,0
1315510568158212096,https://t.co/lkBrX1ybtF,Mon Oct 12 04:32:15 +0000 2020,,133,7,6,0
1315510535950131201,https://t.co/dDPL6xYao1,Mon Oct 12 04:32:07 +0000 2020,,130,5,4,0
1315510453074878464,I was live streaming and youtube took it down as inappropriate content but they said it it did not affect my channel in no ways. But no I can’t live stream can you please help me @TeamYouTube I wasn’t to stream again i have proof right here. https://t.co/vZ0tliJUTt,Mon Oct 12 04:31:47 +0000 2020,,140,10,6,0
1310786370512859136,RT @NFDragon1: seeing your thumbnail do numbers is the best thing https://t.co/MELpyXl5Zb,Tue Sep 29 03:39:58 +0000 2020,,0,6,0,0
1305319614050709506,RT @VigylOnYT: Might not be streamin for a while cuz some weird dudes got my ip and is saying if I don’t give em a shoutout they gon keep b…,Mon Sep 14 01:37:02 +0000 2020,,0,6,0,0
1293363397401153536,IM REALLY STARTING TO GET RECOGNIZED APPRECIATE THE AUPPORT @PoohgottieYT 👾👾 https://t.co/H4JtMhU37O,Wed Aug 12 01:47:18 +0000 2020,,374,17,24,10
1292605153535758347,50k subs NEXT YEAR🥱🥱 OMD,Sun Aug 09 23:34:18 +0000 2020,,670,42,86,15
1107822958121230336,Joined @VyceGG 🐐,Tue Mar 19 01:55:50 +0000 2019,,398,21,75,7
