Creator,Subscriber Growth (%),Total Twitter Engagement,Latest Normalized Views Growth,Avg Replies-to-Likes Ratio,Avg Retweets-to-Likes Ratio
MrBeast,317.2736732570239,42411450,4.367174282532233,0.06881093375263286,inf
IShowSpeed,389.5448954489545,44745033,7.125341506496806,0.026318824665581726,inf
Doja Cat,27.358490566037734,1620815,0.8886493918764445,0.028849145766734096,inf
