Day,MrBeast_Sub,IShowSpeed_Sub,DojaCat_Sub,MrBeast_View,IShowSpeed_View,DojaCat_View
2022-06-04 00:00:00+00:00,1.0,1.0,1.0,0.0,0.0,0.0
2022-06-06 00:00:00+00:00,1.0031217481789803,1.001230012300123,1.0,0.0032109096307642235,0.0030974462187747026,0.003172450717594564
2022-06-07 00:00:00+00:00,1.004162330905307,1.009840098400984,1.009433962264151,0.004715527763640973,0.01241884379036483,0.004685344158881712
2022-06-08 00:00:00+00:00,1.0052029136316336,1.01230012300123,1.009433962264151,0.006096791325337049,0.016950258976032587,0.005624073113627352
2022-06-09 00:00:00+00:00,1.0062434963579605,1.014760147601476,1.009433962264151,0.007246370764374549,0.022069092100020327,0.007212516517444982
2022-06-10 00:00:00+00:00,1.0062434963579605,1.017220172201722,1.009433962264151,0.008136995004666065,0.026626438035257608,0.007827380363542694
2022-06-11 00:00:00+00:00,1.0072840790842872,1.0246002460024601,1.009433962264151,0.009077331256630669,0.03082108558901246,0.009159094476315488
2022-06-12 00:00:00+00:00,1.0072840790842872,1.029520295202952,1.009433962264151,0.009984277383014478,0.039876598353285705,0.009761107500220554
2022-06-13 00:00:00+00:00,1.0083246618106139,1.033210332103321,1.009433962264151,0.01094889576086035,0.045731055078505854,0.011386104849709115
2022-06-14 00:00:00+00:00,1.0083246618106139,1.035670356703567,1.009433962264151,0.011629089709256777,0.05218163146038321,0.01225412315949371
2022-06-15 00:00:00+00:00,1.0093652445369408,1.039360393603936,1.009433962264151,0.012294318065818583,0.055878833874821725,0.013486023386806358
2022-06-16 00:00:00+00:00,1.0104058272632674,1.0430504305043051,1.009433962264151,0.012928784890559732,0.058678390032267366,0.014367078277484947
2022-06-17 00:00:00+00:00,1.0104058272632674,1.045510455104551,1.009433962264151,0.013587351452570859,0.06223285272456562,0.01606597666294957
2022-06-18 00:00:00+00:00,1.0104058272632674,1.04920049200492,1.009433962264151,0.014171987157286809,0.06838767272871472,0.01719009984833401
2022-06-19 00:00:00+00:00,1.0114464099895941,1.052890528905289,1.009433962264151,0.014761339767469846,0.07326895265285029,0.01850418959049504
2022-06-20 00:00:00+00:00,1.0114464099895941,1.056580565805658,1.009433962264151,0.015346009385857633,0.07784160915945618,0.019442416859727977
2022-06-21 00:00:00+00:00,1.012486992715921,1.0615006150061501,1.009433962264151,0.015909481380498577,0.08337979831372462,0.020694998548693104
2022-06-22 00:00:00+00:00,1.012486992715921,1.065190651906519,1.009433962264151,0.016472516223488762,0.08948146918706601,0.021047276713244824
2022-06-23 00:00:00+00:00,1.0135275754422477,1.068880688806888,1.009433962264151,0.017018453397249146,0.09607941074605478,0.022877292555081592
2022-06-24 00:00:00+00:00,1.0135275754422477,1.071340713407134,1.0188679245283019,0.017551801462361547,0.09952751209391811,0.02391699418507871
2022-06-25 00:00:00+00:00,1.0145681581685744,1.0738007380073802,1.0188679245283019,0.018136724896479522,0.10208902152121781,0.025180073687438916
2022-06-26 00:00:00+00:00,1.015608740894901,1.0774907749077491,1.0188679245283019,0.018690617636636493,0.10696707680005058,0.026256540076722717
2022-06-27 00:00:00+00:00,1.015608740894901,1.079950799507995,1.0188679245283019,0.019260016376989177,0.11109062073934114,0.027234627365879217
2022-06-28 00:00:00+00:00,1.015608740894901,1.083640836408364,1.0188679245283019,0.01981472285580838,0.11520506405422998,0.02792919265637977
2022-06-29 00:00:00+00:00,1.016649323621228,1.087330873308733,1.0188679245283019,0.020421028133749082,0.12034152882626861,0.029057877989343017
2022-06-30 00:00:00+00:00,1.016649323621228,1.0922509225092252,1.0188679245283019,0.020985452174205558,0.1230212814325942,0.03013096529278767
2022-07-01 00:00:00+00:00,1.0176899063475546,1.0971709717097171,1.0188679245283019,0.021539570816046252,0.12923974458011292,0.031363779241510105
2022-07-02 00:00:00+00:00,1.0187304890738813,1.100861008610086,1.0188679245283019,0.02208022617224536,0.13635877434809207,0.03240742995664913
2022-07-03 00:00:00+00:00,1.0187304890738813,1.1094710947109472,1.0188679245283019,0.022881573587158525,0.1422249496347233,0.03273091376081843
2022-07-04 00:00:00+00:00,1.0197710718002082,1.118081180811808,1.0188679245283019,0.02467964217535549,0.1480169376702428,0.03443923005371888
2022-07-05 00:00:00+00:00,1.0208116545265349,1.1230012300123002,1.0188679245283019,0.025786533269411414,0.15273679422540315,0.035459244197496013
2022-07-06 00:00:00+00:00,1.0218522372528616,1.132841328413284,1.0188679245283019,0.026803183240406907,0.15922599028045523,0.03578419625879787
2022-07-07 00:00:00+00:00,1.0218522372528616,1.1402214022140222,1.0188679245283019,0.027885141217651774,0.16986612306147816,0.03699008889773133
2022-07-08 00:00:00+00:00,1.0228928199791882,1.1476014760147601,1.0188679245283019,0.028906719028311628,0.17821791357741673,0.03793583792630743
2022-07-11 00:00:00+00:00,1.0249739854318418,1.152521525215252,1.0188679245283019,0.03205920266520527,0.1860296613524815,0.0440413441563911
2022-07-12 00:00:00+00:00,1.0260145681581685,1.1758917589175892,1.0188679245283019,0.03310594025220732,0.20903249421451228,0.04500834856075281
2022-07-13 00:00:00+00:00,1.0270551508844954,1.1845018450184501,1.028301886792453,0.03410222440014826,0.21994117426891052,0.04608562375399231
2022-07-14 00:00:00+00:00,1.028095733610822,1.1894218942189423,1.028301886792453,0.035003064360444744,0.223704973586973,0.04700347805020642
2022-07-15 00:00:00+00:00,1.028095733610822,1.1931119311193112,1.028301886792453,0.03581140083368412,0.229543845145022,0.04796703505493891
