Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1911483346141806703,No girl enjoys trying to tough it out for a party boy... 🎹💋,Sun Apr 13 18:15:18 +0000 2025,348867,10142,781,334,70
1911295127303127231,dont ask me where crack is rn https://t.co/To4lmOEsts,Sun Apr 13 05:47:23 +0000 2025,14861,53739,4555,1741,1117
1908964161377427585,i’m audibly laughing,Sun Apr 06 19:24:57 +0000 2025,541965,10467,288,113,14
1908963290203787297,i really hope no one forces me to eat a whole bottle of women’s daily multivitamin gummies today. please don’t make me do that…. don’t please. don’t.,Sun Apr 06 19:21:29 +0000 2025,410874,10532,506,307,53
1908060624937963819,Doechii is MY inspiration. Doechii is here to STAY.,Fri Apr 04 07:34:37 +0000 2025,6484636,185342,13598,1596,2041
1908054249822400965,i rip and i rhyme and i spit hot fiya,Fri Apr 04 07:09:17 +0000 2025,679626,16527,975,322,55
1908052188749803971,I like to make the people feel good! Thanks for loving my music!,Fri Apr 04 07:01:06 +0000 2025,713130,28398,2325,787,229
1905848131427983845,Walks in the park and prolly cuddle.,Sat Mar 29 05:02:58 +0000 2025,590082,13349,1385,284,82
1905845046223491306,baby how do I know for certain?,Sat Mar 29 04:50:42 +0000 2025,835024,20314,2088,435,133
1849637259206898053,album,Fri Oct 25 02:21:01 +0000 2024,7390316,135556,14216,5725,6075
678089470600609792,"RT @fuzzycuntkins: checkout my article 💖
The Unsafe Sexuality: 
Why Homophobia Is The Real Plague in Society
https://t.co/RPZnNvJYrv https:…",Sat Dec 19 05:48:22 +0000 2015,,0,331,0,0
