Video ID,Video Title,Comment ID,Author,Published Time,Likes,Comment Text
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,Ugx8uL6hlcb2uIHIAh14AaABAg,@thenaveenahuja,6 months ago,248,That kid Doing Barking was the funniest thing ever😂
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,Ugy9FFZrcskKJuEQ8S14AaABAg,@이창현-d3z,11 months ago,392,"Speed, what you did was really the worst. If you were the girl you liked and loved, you shouldn't have acted like that. I'm really disappointed, Speed."
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,Ugwz-gQN68GbPZYtNSt4AaABAg,@thewintersoldier4458,11 months ago,34,The fact that Speed is fr enjoying after what he did on yesterday's stream shows that he still has a long way to go for a serious and healthy relationship :_speedBroken::_speedLLL:
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,UgxTUsN1qcQX0T5KED14AaABAg,@singerbox445,11 months ago,340,You discriminated against Korea and took advantage of Amy.
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,UgxefvluKOvyQDBiMwB4AaABAg,@Sunskissed,11 months ago,793,당신이 에이미와 헤어져서 다행이에요. 왜냐하면 솔직히 에이미에게는 그처럼 미성숙한 남자가 필요하지 않거든요.
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,Ugxh2_Y41QpzA9kiwux4AaABAg,@jugnunema3649,3 weeks ago,4,2:15 was funny moment 🍑🍑🍑🍑
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,UgypW14Vsf0ikcgdYSp4AaABAg,@lucien0001,11 months ago,612,I remember speed was faking his tears when Amy left the UK.  LOL 😆
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,UgwO5Np98kfqm-4jCRN4AaABAg,@senselcz,11 months ago,104,So this is what he spent 5 hours doing to his hair
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,UgyRnw-nM6ovkGHCpGV4AaABAg,@Suvendu__15,11 months ago,2.9K,"🇮🇳 India = 119 (19) . 
🇵🇰 Pakistan = 113/7 (20) . 
🇮🇳 India won by 6 runs 🗿 ."
cWrjp78QebE,SPEED India VS Pakistan Cricket Match!,Ugxsu2oijTkBUF9afvN4AaABAg,@raiyanalam8417,11 months ago,100,"L Speed, i've defeneded speed many times, almost in all breakups but this time it's his fault. We're not blind followers we'll always stand by the right even if we have to go against our fav creator"
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugx2ZdDCT68i51TZSqd4AaABAg,@manlikeisaac,11 months ago,31K,Bro thinks he’s Ronaldo 💀
22kRSaY51SE,iShowSpeed IN DISGUISE,UgydXdYTwTMo_x_oeNt4AaABAg,@jeff21sliver86,11 months ago,41K,Blud thinks his Ronaldo 🤣💀
22kRSaY51SE,iShowSpeed IN DISGUISE,UgzV4_KVVaLcEKCqQA54AaABAg,@PhoenixRushGTPS,11 months ago,12K,Bro is Ronaldo v2
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugwro-Gsb8nGse6srzR4AaABAg,@bokibo87,1 month ago,18,"0:11 bro really said "" nyeaaahh... "" 💀"
22kRSaY51SE,iShowSpeed IN DISGUISE,UgxNPzBkR55RwA1lUHp4AaABAg,@sutelz,11 months ago,15K,Bro wants to be Ronaldo so bad hahah
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugz5Imq-EM2dKuu5rsB4AaABAg,@weakweasel7369,11 months ago,6.7K,"""People are going to think I'm crazy""

I already knew that."
